Customer_ID,Name,Age,Gender,Annual_Income,Credit_Score,Total_Debt,Employment_Status
C00000001,David Taylor,56,Male,133324.57,409,46843.4,Unemployed
C00000002,Edward Grant,69,Male,161664.22,771,34325.1,Unemployed
C00000003,Robert Mosley,46,Male,41999.98,696,45115.08,Unemployed
C00000004,Emily Cunningham,32,Male,125164.68,657,13464.71,Self-Employed
C00000005,Mr. Jorge Gordon,60,Male,35377.38,811,35849.7,Self-Employed
C00000006,Beverly Whitehead,25,Male,66899.2,841,21236.72,Employed
C00000007,Jason Parsons,38,Male,58262.91,549,20763.01,Retired
C00000008,Chad Mendoza,56,Male,122073.7,793,8094.53,Self-Employed
C00000009,Joshua Mccoy,36,Male,171902.43,688,14467.72,Self-Employed
C00000010,Beth Benitez,40,Female,43905.73,402,39827.23,Employed
C00000011,Bradley Crawford,28,Female,158311.37,577,31185.97,Retired
C00000012,Christopher Sanchez,28,Male,45751.9,350,12222.38,Unemployed
C00000013,Katherine Mccoy,41,Female,54140.91,681,40489.81,Employed
C00000014,Joseph Sanchez,53,Female,185049.24,428,47528.44,Employed
C00000015,Kimberly Kramer,57,Male,21751.25,378,21204.27,Self-Employed
C00000016,Paul Smith,41,Male,55485.93,597,48066.69,Unemployed
C00000017,Amanda Hernandez,20,Female,58800.1,619,10608.2,Self-Employed
C00000018,Sara Fields,39,Male,70738.5,704,2641.83,Unemployed
C00000019,Suzanne Abbott,19,Male,85414.11,378,2093.32,Unemployed
C00000020,James Hardy,41,Male,38572.04,782,32319.5,Retired
C00000021,Kimberly Kelly,61,Female,104321.77,830,34328.87,Retired
C00000022,Jared Parsons,47,Female,91883.07,826,31384.02,Self-Employed
C00000023,Debbie Mendez,55,Female,132488.09,478,41875.14,Employed
C00000024,Lisa King,19,Male,176153.17,827,34027.17,Employed
C00000025,Karen Perkins,38,Male,73589.65,608,37645.73,Self-Employed
C00000026,Frank Roberts,50,Male,118367.8,322,27653.39,Employed
C00000027,Daniel Young,29,Male,86847.93,754,11923.03,Employed
C00000028,Stephen Long,39,Male,27245.05,388,6737.4,Unemployed
C00000029,Natalie Chung,61,Female,167793.57,539,47846.48,Unemployed
C00000030,Raymond Bonilla,42,Male,134158.96,535,12691.51,Self-Employed
C00000031,Robert Gonzalez,66,Female,20391.01,472,12724.92,Unemployed
C00000032,Anna Phillips,44,Male,64922.95,306,45600.88,Unemployed
C00000033,Patrick Dawson,59,Female,75618.09,660,45438.3,Self-Employed
C00000034,Lisa Williams,45,Male,166075.68,383,24018.56,Retired
C00000035,Catherine Collins,33,Male,156928.38,512,49829.84,Retired
C00000036,Mrs. Joanna Martin,32,Male,91305.89,676,8873.1,Retired
C00000037,Karen Page,64,Male,48321.6,770,22092.88,Self-Employed
C00000038,Heather Lee,68,Female,89485.79,601,7717.13,Self-Employed
C00000039,Jimmy Patterson,61,Male,165826.34,844,22638.2,Self-Employed
C00000040,Nancy Rogers,69,Female,101430.44,333,49754.6,Retired
C00000041,Kathryn Sherman,20,Female,40856.63,646,17081.64,Unemployed
C00000042,Gary Novak,54,Female,26938.55,619,22483.29,Self-Employed
C00000043,Shawn Harris,68,Male,80000.35,743,49268.99,Employed
C00000044,Timothy Martinez,24,Male,46705.31,564,10014.87,Retired
C00000045,Anthony Rodriguez,38,Female,154107.41,548,34447.28,Retired
C00000046,Connie Jones,26,Male,70176.23,564,27962.18,Retired
C00000047,Daniel Stevens,56,Female,177941.55,842,42182.31,Unemployed
C00000048,Samantha Dunn,35,Female,131122.87,600,24707.99,Employed
C00000049,Joel Lee,21,Male,90859.48,738,26152.58,Self-Employed
C00000050,Tyler Hamilton,42,Male,129810.36,761,20325.7,Self-Employed
C00000051,Linda Lopez,31,Female,73131.32,797,34990.71,Unemployed
C00000052,Melissa Diaz,67,Female,45438.3,724,32825.54,Unemployed
C00000053,Brandon Jensen,26,Male,193551.97,676,41127.47,Retired
C00000054,Angela Williams,43,Male,121369.06,838,22394.63,Retired
C00000055,Mark Villanueva,19,Male,21319.06,491,11228.95,Retired
C00000056,Michael Dunn,37,Female,75856.56,804,20771.29,Self-Employed
C00000057,Monique Conrad,45,Female,48716.21,487,44262.63,Self-Employed
C00000058,Christopher Taylor,64,Female,66473.0,611,33914.05,Retired
C00000059,Megan Durham,24,Male,30028.79,626,40679.25,Self-Employed
C00000060,Michael Simpson,61,Female,64115.41,487,32393.89,Self-Employed
C00000061,Ana Castaneda,25,Female,142942.9,520,40637.33,Employed
C00000062,Mary Harris,64,Female,167709.72,765,26512.99,Retired
C00000063,Jordan Anderson,52,Male,82530.56,498,4989.97,Retired
C00000064,Aaron Peterson,31,Female,114043.83,387,25932.52,Self-Employed
C00000065,Paul Smith,34,Male,27522.31,743,49763.23,Employed
C00000066,Tyler Reynolds,53,Female,36344.14,641,4557.6,Self-Employed
C00000067,William Lopez,67,Female,119346.35,447,45165.84,Retired
C00000068,Eric Williams,57,Male,171303.84,689,18368.91,Unemployed
C00000069,Tony Hall,21,Male,35837.83,427,4540.79,Employed
C00000070,Cassie Arias,19,Male,95338.4,435,26759.86,Unemployed
C00000071,Michael Brown,23,Female,194676.44,555,47844.13,Employed
C00000072,Bryan Hamilton DVM,59,Male,152982.66,506,26951.39,Unemployed
C00000073,Derrick Joseph,21,Female,55568.58,321,21443.28,Employed
C00000074,Rachel Dominguez,46,Female,71331.37,334,976.08,Self-Employed
C00000075,Nathaniel Perkins,35,Male,190624.92,597,49362.19,Employed
